Cbc0010I After 69600 nodes, 12691 on tree, 408 best solution, best possible 122.01497 (31436.07 seconds)
Cbc0010I After 69700 nodes, 12683 on tree, 408 best solution, best possible 122.01497 (31505.29 seconds)
Cbc0010I After 69800 nodes, 12682 on tree, 408 best solution, best possible 122.01497 (31589.46 seconds)
Cbc0010I After 69900 nodes, 12677 on tree, 408 best solution, best possible 122.01497 (31683.39 seconds)
Cbc0010I After 70000 nodes, 12695 on tree, 408 best solution, best possible 122.01497 (31774.50 seconds)
Cbc0010I After 70100 nodes, 12676 on tree, 408 best solution, best possible 122.01497 (31819.84 seconds)
Cbc0010I After 70200 nodes, 12677 on tree, 408 best solution, best possible 122.01497 (31901.51 seconds)
Cbc0010I After 70300 nodes, 12684 on tree, 408 best solution, best possible 122.01497 (31988.62 seconds)
Cbc0010I After 70400 nodes, 12678 on tree, 408 best solution, best possible 122.01497 (32078.72 seconds)
Cbc0010I After 70500 nodes, 12681 on tree, 408 best solution, best possible 122.01497 (32142.34 seconds)
Cbc0010I After 70600 nodes, 12676 on tree, 408 best solution, best possible 122.01497 (32240.27 seconds)
Cbc0010I After 70700 nodes, 12680 on tree, 408 best solution, best possible 122.01497 (32305.66 seconds)
Cbc0010I After 70800 nodes, 12690 on tree, 408 best solution, best possible 122.01497 (32376.32 seconds)
Cbc0010I After 70900 nodes, 12692 on tree, 408 best solution, best possible 122.01497 (32442.98 seconds)
Cbc0010I After 71000 nodes, 12680 on tree, 408 best solution, best possible 122.01497 (32541.93 seconds)
Cbc0010I After 71100 nodes, 12681 on tree, 408 best solution, best possible 122.01497 (32663.88 seconds)
